"","V1","Participant","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger"
"279",38,"12","IT","Yes",0.514304971695,"lalt",1,"Middle","Middle"
"280",39,"12","IT","Yes",0.415154933929,"lcmd",1,"Index","Index"
"281",40,"12","IT","Yes",0.529552221298,"lcmd",1,"Index","Index"
"282",41,"12","IT","No",0.563601207733,"lcmd",1,"Index","Middle"
"283",42,"12","IT","Yes",0.426062011719,"lalt",1,"Middle","Middle"
"284",43,"12","IT","No",0.512354803085,"lalt",1,"Middle","Index"
"285",44,"12","IT","Yes",0.617863988876,"lcmd",1,"Index","Index"
"286",45,"12","IT","No",0.483527851105,"lcmd",1,"Index","Middle"
"287",46,"12","IT","No",0.496869850159,"lalt",1,"Middle","Index"
"288",47,"12","IT","Yes",0.484337043762,"lalt",1,"Middle","Middle"
"289",48,"12","IT","Yes",0.517033004761,"lalt",1,"Middle","Middle"
"290",49,"12","IT","Yes",0.579361820221,"lcmd",1,"Index","Index"
"291",50,"12","IT","No",0.505263853073,"lalt",1,"Middle","Index"
"292",51,"12","IT","No",0.620429134369,"lcmd",1,"Index","Middle"
"293",52,"12","IT","Yes",0.681256961823,"lcmd",1,"Index","Index"
"294",53,"12","IT","No",0.51188416481,"lalt",1,"Middle","Index"
"295",54,"12","IT","Yes",0.45449590683,"lalt",1,"Middle","Middle"
"296",55,"12","IT","No",0.537848949432,"lcmd",1,"Index","Middle"
"297",56,"12","IT","No",0.487100076675,"lcmd",1,"Index","Middle"
"298",57,"12","IT","Yes",0.753266954422,"lcmd",1,"Index","Index"
"299",58,"12","IT","No",0.48842291832,"lalt",1,"Middle","Index"
"300",59,"12","IT","Yes",0.478906011581,"lalt",1,"Middle","Middle"
"301",60,"12","IT","No",0.510929012299,"lcmd",1,"Index","Middle"
"302",61,"12","IT","Yes",0.917764997482,"lcmd",1,"Index","Index"
"303",62,"12","IT","No",0.498352146149,"lalt",1,"Middle","Index"
"304",63,"12","IT","Yes",0.523259973526,"lalt",1,"Middle","Middle"
"305",64,"12","IT","Yes",0.433715963364,"lcmd",1,"Index","Index"
"306",65,"12","IT","Yes",0.390530014038,"lalt",1,"Middle","Middle"
"307",66,"12","IT","No",0.562246894836,"lalt",1,"Middle","Index"
"308",67,"12","IT","No",0.482395887375,"lalt",0,"Index","Middle"
"309",68,"12","IT","Yes",0.587912034988,"lalt",1,"Middle","Middle"
"310",69,"12","IT","No",0.523349952698,"lalt",1,"Middle","Index"
"311",70,"12","IT","Yes",0.675294971466,"lcmd",1,"Index","Index"
"312",71,"12","IT","No",0.582375097275,"lcmd",1,"Index","Middle"
"313",72,"12","IT","No",0.586607885361,"lcmd",1,"Index","Middle"
"314",73,"12","IT","Yes",0.53675198555,"lalt",1,"Middle","Middle"
"315",74,"12","IT","Yes",0.538757896423,"lcmd",1,"Index","Index"
"316",75,"12","IT","No",0.436298131943,"lalt",1,"Middle","Index"
"317",76,"12","IT","Yes",0.513644838333,"lalt",1,"Middle","Middle"
"318",77,"12","IT","No",0.550382089615,"lalt",1,"Middle","Index"
"319",78,"12","IT","No",0.499681997299,"lcmd",1,"Index","Middle"
"320",79,"12","IT","Yes",0.613021087647,"lcmd",1,"Index","Index"
"321",0,"13","II","No",-22.2378119946,"lalt",1,"Middle","Index"
"322",1,"13","II","No",0.623057079315,"lcmd",1,"Index","Middle"
"323",2,"13","II","Yes",0.705060052872,"lalt",1,"Middle","Middle"
"324",3,"13","II","Yes",0.57852191925,"lcmd",1,"Index","Index"
"325",4,"13","II","No",0.685823106766,"lalt",1,"Middle","Index"
"326",5,"13","II","Yes",0.652838993073,"lalt",1,"Middle","Middle"
"327",6,"13","II","No",0.580761146545,"lcmd",1,"Index","Middle"
"328",7,"13","II","Yes",0.716879987717,"lcmd",1,"Index","Index"
"329",8,"13","II","Yes",0.588652992249,"lcmd",1,"Index","Index"
"330",9,"13","II","Yes",0.638219928741,"lalt",1,"Middle","Middle"
"331",10,"13","II","No",0.596857023239,"lcmd",1,"Index","Middle"
"332",11,"13","II","No",0.547288036346,"lalt",1,"Middle","Index"
"333",12,"13","II","Yes",0.541315078735,"lcmd",1,"Index","Index"
"334",13,"13","II","No",0.504199934006,"lalt",1,"Middle","Index"
"335",14,"13","II","No",0.551861095428,"lcmd",1,"Index","Middle"
"336",15,"13","II","Yes",0.610864114761,"lalt",1,"Middle","Middle"
"337",16,"13","II","Yes",0.612498950958,"lalt",1,"Middle","Middle"
"338",17,"13","II","Yes",0.629450082779,"lcmd",1,"Index","Index"
"339",18,"13","II","No",0.621162033081,"lalt",1,"Middle","Index"
