"Participant","V1","Condition","Congruity","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
2,73,"IT","No",0.44654917717,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.806205745491942
2,74,"IT","Yes",0.418120002747,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.871986799747746
2,75,"IT","Yes",0.318933868408,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-1.14277150675462
2,76,"IT","Yes",0.448922014236,"lcmd","Index","Index",22,13,11,16,33,"female",23,"Index Index",-0.800906093995712
2,77,"IT","No",0.460109043121,"lalt","Middle","Index",22,13,11,16,33,"female",23,"Middle Index",-0.776291767327927
2,78,"IT","No",0.496307086945,"lcmd","Index","Middle",22,13,11,16,33,"female",23,"Index Middle",-0.700560416931959
2,79,"IT","Yes",0.441329956055,"lalt","Middle","Middle",22,13,11,16,33,"female",23,"Middle Middle",-0.817962483625927
3,0,"II","No",0.5288189888,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.63710908186094
3,1,"II","No",0.504836034775,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.683521586041775
3,2,"II","Yes",0.391747093201,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.937138817809273
3,3,"II","Yes",0.463397169113,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.769170775951593
3,4,"II","Yes",0.567072057724,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.567268897396137
3,5,"II","Yes",0.490997982025,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.711315261124779
3,6,"II","No",0.43383898735,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.835081810607505
3,7,"II","No",0.557134103775,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.584949307216211
3,8,"II","No",0.45879907608,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.779142907504014
3,9,"II","No",0.510220003128,"lcmd","Index","Middle",17,15,26,13,31,"female",19,"Index Middle",-0.672913267598447
3,10,"II","Yes",0.530847978592,"lcmd","Index","Index",17,15,26,13,31,"female",19,"Index Index",-0.633279591400202
3,11,"II","Yes",0.425791168213,"lalt","Middle","Middle",17,15,26,13,31,"female",19,"Middle Middle",-0.85380626837009
3,12,"II","No",0.467240858078,"lalt","Middle","Index",17,15,26,13,31,"female",19,"Middle Index",-0.760910398214006
