"Participant","V1","Condition","Reaction_time","Response","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age","Item","RTlog"
4,19,"IT",0.825363016129,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.191931969877366
4,21,"IT",0.472297906876,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.75014533385783
4,23,"IT",0.786637020111,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.239988356640314
4,26,"IT",0.552397108078,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.593488092656214
4,27,"IT",0.519085025787,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.655687583055101
4,28,"IT",0.661463975906,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.413299755102016
4,29,"IT",0.48342499733,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.726859100568572
4,32,"IT",0.451664876938,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.794814796843189
4,33,"IT",0.532835006714,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.629543458622282
4,36,"IT",0.450576114654,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.797228260258467
4,37,"IT",0.490033960342,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.713280583458663
4,40,"IT",0.580461168289,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.543932373640666
4,41,"IT",0.672492074966,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.396764952012755
4,45,"IT",0.80703792572,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.214384615880899
4,49,"IT",0.609033918381,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.495881317616264
4,51,"IT",0.824548053741,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.192919856399447
4,53,"IT",0.872070026398,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.136885552795178
4,56,"IT",0.539066839218,"lcmd","Index","Middle",21,24,7,6,25,"female",24,"Index Middle",-0.617915709790929
4,59,"IT",0.578768777847,"lalt","Middle","Index",21,24,7,6,25,"female",24,"Middle Index",-0.546852228584064
