"Participant","V1","Condition","Congruity","Response","Correctness","Cue","Finger","Item","Gender","Reaction_time","FS","EC","PT","PD","SS","Age"
9,23,"II","No","lalt","1","Middle","Index","Middle Index","male",0.112233504789628,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,25,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.384635479354455,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,26,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",0.346402348340099,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,27,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.746196957106861,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,28,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.160396573476004,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,29,"II","No","lalt","1","Middle","Index","Middle Index","male",0.0258444824880855,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,30,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.236749794556689,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,31,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.685330781486908,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,32,"II","No","lalt","1","Middle","Index","Middle Index","male",2.58356446306297,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,33,"II","No","lcmd","1","Index","Middle","Index Middle","male",-0.0846332515581858,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,34,"II","Yes","lcmd","1","Index","Index","Index Index","male",0.334101624586693,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,35,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",0.0798490604144454,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,36,"II","No","lalt","1","Middle","Index","Middle Index","male",0.107144501444799,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,37,"II","No","lcmd","1","Index","Middle","Index Middle","male",-0.413211641473805,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,38,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.72334567457517,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,39,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",0.312902714903846,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,41,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.202777122215198,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,42,"II","Yes","lcmd","1","Index","Index","Index Index","male",0.610486385191321,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,43,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.703006258955583,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,44,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",1.45662217926703,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,45,"II","No","lalt","1","Middle","Index","Middle Index","male",-0.161765666340142,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,46,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.722215678963221,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,47,"II","Yes","lcmd","1","Index","Index","Index Index","male",0.226381134937238,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,48,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",0.0822573035628436,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,49,"II","Yes","lcmd","1","Index","Index","Index Index","male",0.00263657272310114,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,50,"II","No","lalt","1","Middle","Index","Middle Index","male",1.1630679481376,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,51,"II","No","lcmd","1","Index","Middle","Index Middle","male",0.774936398844082,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,52,"II","Yes","lcmd","1","Index","Index","Index Index","male",-0.203056595519928,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,53,"II","No","lcmd","1","Index","Middle","Index Middle","male",-0.163628202535114,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,54,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.480329111208295,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,55,"II","No","lalt","1","Middle","Index","Middle Index","male",-0.213436242380654,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,56,"II","No","lalt","1","Middle","Index","Middle Index","male",-0.484237655976138,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
9,57,"II","Yes","lalt","1","Middle","Middle","Middle Middle","male",-0.382043766985564,-2.0277055179382,-0.539258651626163,-1.23581669770438,-0.680006636821251,-1.66100227450499,0.280245761280561
