"Participant","V1","Condition","Congruity","Reaction_time","Response","Correctness","Cue","Finger","FS","EC","PT","PD","SS","Gender","Age"
2,79,"IT","Yes",0.441329956055,"lalt",1,"Middle","Middle",22,13,11,16,33,0,23
3,0,"II","No",0.5288189888,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,1,"II","No",0.504836034775,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,2,"II","Yes",0.391747093201,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,3,"II","Yes",0.463397169113,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,4,"II","Yes",0.567072057724,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,5,"II","Yes",0.490997982025,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,6,"II","No",0.43383898735,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,7,"II","No",0.557134103775,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,8,"II","No",0.45879907608,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,9,"II","No",0.510220003128,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,10,"II","Yes",0.530847978592,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,11,"II","Yes",0.425791168213,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,12,"II","No",0.467240858078,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,13,"II","No",0.534474945068,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,14,"II","Yes",0.419074964523,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,15,"II","Yes",0.489718103409,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,16,"II","No",0.444875001907,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,17,"II","Yes",0.554694032669,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,18,"II","Yes",0.441118907928,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,19,"II","No",0.469089126587,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,20,"II","No",0.467985010147,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,21,"II","Yes",0.477468109131,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,22,"II","Yes",0.470293998718,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,23,"II","No",0.901549196243,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,24,"II","No",0.463342094421,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
3,25,"II","Yes",0.518958902359,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,26,"II","No",0.461637926102,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,27,"II","Yes",0.587700986862,"lalt",1,"Middle","Middle",17,15,26,13,31,0,19
3,28,"II","No",0.498098087311,"lalt",1,"Middle","Index",17,15,26,13,31,0,19
3,29,"II","Yes",0.443375062942,"lcmd",1,"Index","Index",17,15,26,13,31,0,19
3,30,"II","No",0.461014080048,"lcmd",1,"Index","Middle",17,15,26,13,31,0,19
